Sentences,BIO tags,Animated_NP
"Darin steht : Wenn ein „ Cap and Trade“-System eine verbindliche Obergrenze hat , haben andere Maßnahmen wie Subventionen für erneuerbare Energien keine weiteren Auswirkungen auf die Emissionsminderung","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'B', 'I', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'I', 'O', 'B', 'I']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
– Damit ist natürlich das von den Grünen so hochgepriesene EEG gemeint,"['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
"Und nun wollen Sie mit einem übereilten Ausstieg aus der Braunkohle den gleichen Fehler erneut begehen , worunter ganz besonders – das muss doch klar sein – die sozial Schwachen unserer Gesellschaft leiden werden ; denn steigende Energiepreise treffen Menschen mit geringem Einkommen naturgemäß deutlich härter","['O', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"Neben der Bezahlbarkeit von Energie ist natürlich auch die Versorgungssicherheit ein entscheidender Faktor , den Sie , liebe Grüne , öfter vergessen , der aber gerade für eine große Industrienation wie Deutschland unverzichtbar ist","['O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
"Doch das alles muss nicht sein ; denn mit den richtigen Maßnahmen , von denen ich Ihnen gerne ein paar nenne , können wir den Klimawandel vernünftig bekämpfen","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'B', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Auf internationaler Ebene müssen wir dazu vor allem den Emissionshandel voranbringen,"['O', 'B', 'I', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"Beispielhaft können wir die Zahl der Zertifikate schneller abbauen oder die 900 Millionen Zertifikate aus dem Backloading-Beschluss endgültig aus dem Markt nehmen oder aus der MRS , was zur Stabilisierung des Preises führen würde","['O', 'O', 'B', 'B', 'I', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'B', 'I', 'O', 'O']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Es gibt noch eine ganze Reihe anderer Punkte,"['O', 'O', 'B', 'I', 'I', 'I', 'B', 'I']","[0, 0, 0, 0, 0, 0, 0, 0]"
Der Kollege von der AfD kommt aus der Lausitz,"['B', 'I', 'O', 'B', 'I', 'O', 'O', 'B', 'I']","[1, 1, 0, 1, 1, 0, 0, 0, 0]"
"Liebe Grüne , wenn Sie wirklich die CO 2 -Emissionen in Deutschland reduzieren wollen – das ist Ziel des Klimaschutzplans 2050 – , dann müssen Sie endlich auch Technologien wie das Speichern von CO 2 über CCS und insbesondere CCU akzeptieren , weil das der Weg sein wird , unsere Klimaschutzziele sozialverträglich und kompetent umzusetzen","['B', 'B', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'I', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Meine Damen und Herren , wir als Freie Demokraten können dem Antrag der Grünen , wie er hier vorliegt , auf keinen Fall zustimmen und plädieren für eine Überweisung an den Hauptausschuss","['B', 'I', 'O', 'B', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I']","[1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
"Dort kann dann gerne auch über die Globale Allianz für den Kohleausstieg diskutiert werden , die von Großbritannien angeführt wird","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'O']","[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Dann können Sie gerne erklären , ob das neue Vorbild der Grünen ein Land ist , das gerade ein AKW ans Netz bringt","['O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'B', 'I', 'B', 'I', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Vielen Dank,"['O', 'O']","[0, 0]"
"Vielen Dank , Lukas Köhler","['O', 'O', 'O', 'B', 'I']","[0, 0, 0, 1, 1]"
– Nächster Redner – auch er hält seine erste Rede im Bundestag – : Lorenz Gösta Beutin für Die Linke,"['B', 'I', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'O', 'B', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I']","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1]"
Vielen Dank,"['O', 'O']","[0, 0]"
– Herr Präsident,"['B', 'I', 'I']","[1, 1, 1]"
Sehr geehrte Damen und Herren,"['B', 'I', 'I', 'O', 'B']","[1, 1, 1, 0, 1]"
"Gott zum Gruße , Frau Ministerin Klöckner","['B', 'O', 'B', 'O', 'B', 'I', 'I']","[1, 0, 0, 0, 1, 1, 1]"
Vorweg möchte ich Ihnen zu Ihrem neuen herausragenden Amt gratulieren,"['O', 'O', 'B', 'B', 'O', 'B', 'I', 'I', 'I', 'O']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"Als Weinkönigin haben Sie schon einmal das Wissen , was einen Weinbauer in Deutschland beschäftigt","['O', 'B', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'B', 'B', 'I', 'O', 'B', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
Zu Ihrer Erklärung : Wir haben sehr viele große Worte gehört,"['O', 'B', 'I', 'O', 'B', 'O', 'B', 'I', 'I', 'I', 'O']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"Diverses soll geschützt werden , anderes soll gefördert werden","['B', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Und überhaupt : schöne neue GroKo-Welt , alles gut , alles systemrelevant","['B', 'I', 'I', 'I', 'I', 'I', 'O', 'B', 'O', 'O', 'B', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"– Wovon ich hier heute leider relativ wenig gehört habe – wenn Sie nicht mit Ihrem Handy sprechen , bekommen Sie vielleicht auch mit , was ich sage ; das wäre nett , wenn Sie jemand anspricht – , ist die Zukunft der örtlichen deutschen Bauern mit einem Hof kleiner oder mittlerer Größe","['O', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'I', 'I', 'O', 'B', 'I', 'B', 'I', 'I', 'I']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
"Dabei sind es diese fleißigen Männer und Frauen , die nicht nur vernünftiges Essen auf unsere Teller bringen , sondern auch unsere Kulturlandschaften hegen und pflegen","['O', 'O', 'B', 'B', 'I', 'I', 'O', 'B', 'O', 'B', 'B', 'I', 'I', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Man sollte meinen , dass diese Arbeit unserer Bauern Ihre Unterstützung verdient hätte","['B', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'B', 'I', 'O', 'O']","[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
Tatsächlich aber sieht es damit eher schlecht aus,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]"
Dabei ist die Lage unserer Höfe mehr als nur bedenklich,"['O', 'O', 'B', 'I', 'B', 'I', 'B', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Seit Jahren haben wir ein ungebrochenes Höfesterben,"['O', 'B', 'O', 'B', 'B', 'I', 'I']","[0, 0, 0, 1, 0, 0, 0]"
"Unsere Milchbauern bereiten sich inzwischen auf die nächste Milchkrise vor , und immer mehr Ackerland ist in der Hand weniger Unternehmen","['B', 'I', 'O', 'B', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'I', 'B', 'I']","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
"An dieser Stelle sende ich einen freundlichen Gruß an die Kollegen der Linkspartei , die trotz sorgfältig gepflegter Robin-Hood-Attitüde rein gar nichts dagegen einzuwenden haben , dass die ehemaligen VEB-Betriebe in Mitteldeutschland ihre Größe gnadenlos ausnutzen und den kleinen Bauern immer mehr wegnehmen","['O', 'B', 'I', 'O', 'B', 'B', 'I', 'I', 'O', 'B', 'I', 'B', 'I', 'O', 'B', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'I', 'B', 'I', 'O']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
"Aber vermutlich läuft das bei Ihnen unter realsozialistischer Traditionspflege , meine Damen und Herren","['O', 'O', 'O', 'B', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'B']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
"Zurück zum Thema und zurück zu Ihnen , Frau Ministerin","['O', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'B', 'I']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
"Seit Jahren legt auch Ihre Partei unseren kleinen und mittelständischen landwirtschaftlichen Betrieben immer mehr Fesseln an : Gülleverordnung hier , Pestizidverbote da , angeblich alles im Namen des Umweltschutzes","['O', 'B', 'O', 'B', 'I', 'I', 'B', 'I', 'I', 'I', 'I', 'I', 'B', 'I', 'I', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'B', 'B', 'I']","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Tatsächlich versucht die deutsche Umweltpolitik seit Jahren , die Probleme zu lösen , die ohne die zunehmende Konzentration der Fläche bei einigen wenigen Großbetrieben vermutlich gar nicht vorhanden wären ; denn der beste Umweltschutz bleibt die kleinräumige , familiär geprägte Landwirtschaft","['O', 'O', 'B', 'I', 'I', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'B', 'I', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'I', 'I', 'I']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Herr Kollege , gestatten Sie eine Zwischenfrage des Kollegen Lenkert","['O', 'B', 'O', 'O', 'B', 'B', 'I', 'B', 'I', 'I']","[0, 1, 0, 0, 0, 0, 0, 1, 1, 1]"
"Ja , gern","['O', 'O', 'O']","[0, 0, 0]"
– Darf man einem AfDler keine Zwischenfrage mehr stellen,"['O', 'O', 'B', 'B', 'I', 'B', 'I', 'O', 'O']","[0, 0, 0, 1, 1, 0, 0, 0, 0]"
– Anscheinend doch,"['O', 'O', 'O']","[0, 0, 0]"
– Sie schauen mich aber gerade an,"['O', 'B', 'O', 'B', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0]"
"– Ja , dann reden Sie auch mit mir","['O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Danke , das finde ich sehr nett","['O', 'O', 'B', 'O', 'B', 'O', 'O']","[0, 0, 0, 0, 1, 0, 0]"
"Herr Protschka , Sie kennen sich in der ostdeutschen Landwirtschaft sehr gut aus , nehme ich an , weil Sie aus Bayern kommen","['O', 'B', 'O', 'B', 'O', 'B', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'B', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"Ihnen ist sicherlich bekannt , dass die Produktionsgenossenschaften in Ostdeutschland ein Zusammenschluss von Genossenschaftsmitgliedern sind , die gemeinsam ihre Flächen bewirtschaften , die gemeinsam im genossenschaftlichen Eigentum produzieren","['B', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'B', 'I', 'O', 'B', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'O']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Dass Sie dies mit konzernartigen Agrargroßbetrieben gleichsetzen , die einem Einzelnen oder Investmentgesellschaften gehören , ist nicht sachgerecht und beleidigt unsere Landwirtinnen und Landwirte , die in Gemeinschaftsarbeit ihre Felder bewirtschaften","['O', 'B', 'B', 'O', 'B', 'I', 'O', 'O', 'B', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'O', 'B', 'B', 'I', 'O']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"Auch wenn es große Flächen sind , so sind es doch Genossenschaften , die zusammenstehen und zusammenarbeiten , und das ist auch gut so","['O', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Sehr geehrter Herr Kollege , wenn Sie mir zugehört hätten , dann hätten Sie gehört , dass ich nicht von den LPGs gesprochen habe , sondern von den ehemaligen Volkseigenen Betrieben , die nach der Wende übernommen wurden und jetzt ihre Größe ausnutzen und dafür sorgen , dass die kleinen bäuerlichen Betriebe im Osten aufgeben müssen","['O', 'O', 'O', 'B', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'B', 'O', 'O']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]"
"Wenn Sie sich einmal Zeit nehmen und sich mit dem Deutschen Bauernbund zusammensetzen , wird er Ihnen das bestätigen","['O', 'B', 'B', 'O', 'B', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'B', 'B', 'B', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
– Danke für die Zwischenfrage,"['B', 'I', 'O', 'B', 'I']","[0, 0, 0, 0, 0]"
Jetzt aber weiter,"['O', 'O', 'O']","[0, 0, 0]"
Der beste Umweltschutz bleibt eine kleinräumige Landwirtschaft,"['B', 'I', 'I', 'O', 'B', 'I', 'I']","[0, 0, 0, 0, 0, 0, 0]"
Warum ist das so,"['O', 'O', 'B', 'O']","[0, 0, 0, 0]"
"Weil der Bauer mit Sicherheit auf seinen eigenen Boden achten und ihn so pflegen wird , dass ihn auch seine Kindeskinder nutzen und sich von seinem Ertrag ernähren können","['O', 'B', 'I', 'O', 'B', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'I', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Aber was haben wir stattdessen,"['O', 'B', 'O', 'B', 'O']","[0, 0, 0, 1, 0]"
Immer größere Betriebe und Höfesterben,"['B', 'I', 'I', 'O', 'B']","[1, 1, 1, 0, 0]"
"Mitverantwortlich dafür ist im Übrigen ihr Hang zum Freihandel , den hier fast alle haben , außer uns","['O', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'B', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'B']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Wenn ich an die anstehende Abstimmung über das Freihandelsabkommen mit den Mercosur-Staaten denke , dann dreht sich mir , ehrlich gesagt , der Magen um","['O', 'B', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
