Sentence,Tagged_Sentence,BIO_tags,Animated_NP,Animated_Prob_NP,Animated_Token,Animated_Prob_Token
Auch Politikerinnen und Politiker anderer Parteien werden von militanten Rechten bedroht .,[START] Auch Politikerinnen [END] und [START] Politiker [END] [START] anderer Parteien [END] werden von [START] militanten Rechten [END] bedroht .,"['B', 'I', 'O', 'B', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O']","[1, 1, 1, 1]",,"[1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0]",
Bereits erwähnt worden ist die Kölner Oberbürgermeisterin Henriette Reker von der CDU .,Bereits erwähnt worden ist [START] die Kölner Oberbürgermeisterin Henriette Reker [END] von [START] der CDU [END] .,"['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'B', 'I', 'O']","[1, 1]",,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0]",
"– Sie ist parteilos , Entschuldigung .","– [START] Sie [END] ist parteilos , [START] Entschuldigung [END] .","['O', 'B', 'O', 'O', 'O', 'B', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0, 0]",
"– Aber auch Christoph Bergner , CDU-Bundestagsabgeordneter , Dr. Karamba Diaby von der SPD oder der Kollege Sebastian Striegel von den sächsischen Grünen waren von rechter Gewalt betroffen .","– Aber [START] auch Christoph Bergner [END] , [START] CDU-Bundestagsabgeordneter [END] , [START] Dr. Karamba Diaby [END] von [START] der SPD [END] oder [START] der Kollege Sebastian Striegel [END] von [START] den sächsischen Grünen [END] waren von [START] rechter Gewalt [END] betroffen .","['O', 'O', 'B', 'I', 'I', 'O', 'B', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'I', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1]",,"[0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0]",
Es gibt unzählige Beispiele .,Es gibt [START] unzählige Beispiele [END] .,"['O', 'O', 'B', 'I', 'O']",[0],,"[0, 0, 0, 0, 0]",
Aus der Antwort auf eine Kleine Anfrage unserer Fraktion geht hervor : Bis September dieses Jahres gab es 111 Angriffe auf Bundestagsabgeordnete und ihre Büros .,Aus [START] der Antwort [END] auf [START] eine Kleine Anfrage [END] [START] unserer Fraktion [END] geht hervor : Bis [START] September [END] [START] dieses Jahres [END] gab es [START] 111 Angriffe [END] auf [START] Bundestagsabgeordnete [END] und [START] ihre Büros [END] .,"['O', 'B', 'I', 'O', 'B', 'I', 'I', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'I', 'O']","[0, 0, 1, 0, 0, 0, 1, 0]",,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",
"Die Verhältnisse sind sehr klar : 93 davon wurden von Rechtsextremen begangen , 18 von Linksextremen .","[START] Die Verhältnisse [END] sind sehr klar : 93 davon wurden von [START] Rechtsextremen [END] begangen , 18 von [START] Linksextremen [END] .","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'O']","[0, 1, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",
Jeder dieser Angriffe ist ein Angriff zu viel .,[START] Jeder [END] [START] dieser Angriffe [END] ist [START] ein Angriff [END] [START] zu viel [END] .,"['B', 'B', 'I', 'O', 'B', 'I', 'B', 'I', 'O']","[0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Die Angriffe auf Politikerinnen und Politiker stehen allerdings in keinem Verhältnis zu den zum Teil schlimmen und lebensgefährlichen Angriffen , denen andere Menschen ausgesetzt sind .","[START] Die Angriffe [END] auf [START] Politikerinnen [END] und [START] Politiker [END] stehen allerdings in [START] keinem Verhältnis [END] zu den zum [START] Teil [END] schlimmen und lebensgefährlichen Angriffen , [START] denen [END] [START] andere Menschen [END] ausgesetzt sind .","['B', 'I', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'O', 'O']","[0, 1, 1, 0, 0, 0, 1]",,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",
"Ich spreche hier von Geflüchteten , Migrantinnen und Migranten , alternativen Jugendlichen und Obdachlosen .","[START] Ich [END] spreche hier von [START] Geflüchteten [END] , [START] Migrantinnen [END] und [START] Migranten [END] , [START] alternativen Jugendlichen [END] und [START] Obdachlosen [END] .","['B', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'O']","[1, 1, 1, 1, 1, 1]",,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]",
"Diese rassistische Gewalt ist das größte Problem , das unsere Demokratie bedroht .","[START] Diese rassistische Gewalt [END] ist [START] das größte Problem [END] , [START] das [END] [START] unsere Demokratie [END] bedroht .","['B', 'I', 'I', 'O', 'B', 'I', 'I', 'O', 'B', 'B', 'I', 'O', 'O']","[0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Es gab allein im letzten Jahr fast 1 0 Angriffe auf Flüchtlingsunterkünfte und 2 500 weitere Angriffe auf Geflüchtete .,Es gab allein im [START] letzten Jahr [END] [START] fast 1 0 Angriffe [END] auf [START] Flüchtlingsunterkünfte [END] und [START] 2 500 weitere Angriffe [END] auf [START] Geflüchtete [END] .,"['O', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'I', 'I', 'O', 'B', 'O', 'B', 'I', 'I', 'I', 'O', 'B', 'O']","[0, 0, 0, 0, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",
An dieser Stelle vermisse ich die Empörung der AfD. Ihre Bundestagsfraktion ist ja nicht gerade zimperlich .,An [START] dieser Stelle [END] vermisse [START] ich [END] [START] die Empörung [END] [START] der AfD. [END] [START] Ihre Bundestagsfraktion [END] ist ja nicht gerade zimperlich .,"['O', 'B', 'I', 'O', 'B', 'B', 'I', 'B', 'I', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 0, 1, 1]",,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",
Es ist erwähnt worden : Der Bundestagsabgeordnete Stephan Brandner postete ein Foto von einer Machete und bedrohte das Zentrum für Politische Schönheit .,[START] Es [END] ist erwähnt worden : [START] Der Bundestagsabgeordnete Stephan Brandner [END] postete [START] ein Foto [END] von [START] einer Machete [END] und bedrohte [START] das Zentrum [END] für [START] Politische Schönheit [END] .,"['B', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O']","[0, 1, 0, 0, 1, 1]",,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",
Schon im Juli dieses Jahres gab es ein Foto von einer Steinschleuder mit dem Hashtag „ Neuerwerb !,Schon im [START] Juli [END] [START] dieses Jahres [END] gab es [START] ein Foto [END] von [START] einer Steinschleuder [END] mit [START] dem Hashtag „ Neuerwerb [END] !,"['O', 'O', 'B', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
“ .,“ .,"['O', 'O']",[],,"[0, 0]",
"Das , meine Damen und Herren , ist völlig inakzeptabel .","[START] Das [END] , [START] meine Damen [END] und [START] Herren [END] , ist völlig inakzeptabel .","['B', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'O']","[0, 1, 1]",,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]",
19 Mitglieder der AfD-Bundestagsfraktion und 33 Landtagsabgeordnete Ihrer Partei waren Mitglieder einer Facebook-Gruppe mit dem Namen „ Die Patrioten “ .,[START] 19 Mitglieder [END] [START] der AfD-Bundestagsfraktion [END] und [START] 33 Landtagsabgeordnete [END] [START] Ihrer Partei [END] waren [START] Mitglieder [END] [START] einer Facebook-Gruppe [END] mit [START] dem Namen „ Die Patrioten [END] “ .,"['B', 'I', 'B', 'I', 'O', 'B', 'I', 'B', 'I', 'O', 'B', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1]",,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]",
"Dort wurde ein Foto gepostet , das Anne Frank – ein Mädchen , das von Nazis ermordet wurde – auf einem Pizzakarton zeigte , mit einem Schriftzug , der so ekelhaft ist , dass ich ihn an dieser Stelle nicht zitieren kann .","Dort wurde [START] ein Foto [END] gepostet , [START] das [END] [START] Anne Frank [END] – [START] ein Mädchen [END] , [START] das [END] von [START] Nazis [END] ermordet wurde – auf [START] einem Pizzakarton [END] zeigte , mit [START] einem Schriftzug [END] , [START] der [END] so ekelhaft ist , dass [START] ich [END] [START] ihn [END] an [START] dieser Stelle [END] nicht zitieren kann .","['O', 'O', 'B', 'I', 'O', 'O', 'B', 'B', 'I', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O']","[0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
"Das ist so was von geschmacklos und menschenverachtend , meine Damen und Herren !","[START] Das [END] ist so [START] was [END] von geschmacklos und menschenverachtend , [START] meine Damen [END] und [START] Herren [END] !","['B', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O']","[0, 0, 1, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",
Schämen Sie sich !,Schämen [START] Sie [END] [START] sich [END] !,"['O', 'B', 'B', 'O']","[0, 0]",,"[0, 0, 0, 0]",
"Wer darüber nicht reden und sich davon nicht distanzieren will , der soll aufhören , sich hier als Opfer zu inszenieren .","[START] Wer [END] darüber nicht reden und [START] sich [END] davon nicht distanzieren will , der soll aufhören , [START] sich [END] hier als [START] Opfer [END] zu inszenieren .","['B', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O']","[0, 0, 0, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",
Das ist einfach scheinheilig .,[START] Das [END] ist einfach scheinheilig .,"['B', 'O', 'O', 'O', 'O']",[0],,"[0, 0, 0, 0, 0]",
"Das ist übrigens der Grund , warum Menschen vor Ihrem Parteitag demonstrieren .","[START] Das [END] ist übrigens [START] der Grund [END] , warum [START] Menschen [END] vor [START] Ihrem Parteitag [END] demonstrieren .","['B', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O']","[0, 0, 1, 1]",,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",
Dafür gibt es auch gute Gründe .,Dafür gibt es [START] auch gute Gründe [END] .,"['O', 'O', 'O', 'B', 'I', 'I', 'O']",[0],,"[0, 0, 0, 0, 0, 0, 0]",
"Gewalt , meine Damen und Herren , insbesondere gegen Personen , lehnen wir Linke unmissverständlich ab .","[START] Gewalt [END] , [START] meine Damen [END] und [START] Herren [END] , insbesondere gegen [START] Personen [END] , lehnen [START] wir [END] [START] Linke [END] unmissverständlich ab .","['B', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'B', 'O', 'O', 'O']","[0, 1, 1, 1, 1, 1]",,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]",
"Gewalt ist kein Mittel der Politik , schon gar nicht von linker Politik .","[START] Gewalt [END] ist [START] kein Mittel [END] [START] der Politik [END] , [START] schon gar nicht von linker Politik [END] .","['B', 'O', 'B', 'I', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'O']","[0, 0, 1, 1]",,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]",
"Dass Sie aber jetzt so tun , als sei diese Demonstration eine linksextremistische Veranstaltung gewesen , geht nicht .","Dass [START] Sie [END] aber jetzt so tun , als sei [START] diese Demonstration [END] [START] eine linksextremistische Veranstaltung [END] gewesen , geht nicht .","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Mit dabei waren Vertreterinnen und Vertreter der Kirchen , der Muslime , der Gewerkschaften und Überlebende des Holocaust .","Mit dabei waren [START] Vertreterinnen [END] und [START] Vertreter [END] [START] der Kirchen [END] , [START] der Muslime [END] , [START] der Gewerkschaften [END] und [START] Überlebende [END] [START] des Holocaust [END] .","['O', 'O', 'O', 'B', 'O', 'B', 'B', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'B', 'B', 'I', 'O']","[1, 1, 1, 1, 1, 1, 0]",,"[0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",
"Sie alle haben Grund , sich Sorgen zu machen und gegen Ihren Parteitag zu demonstrieren .","[START] Sie [END] [START] alle [END] haben [START] Grund [END] , [START] sich [END] [START] Sorgen [END] zu machen und gegen [START] Ihren Parteitag [END] zu demonstrieren .","['B', 'B', 'O', 'B', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",
Und warum ?,Und warum ?,"['O', 'O', 'O']",[],,"[0, 0, 0]",
Weil die AfD und ihr Umfeld diese Gesellschaft spalten und weil Sie Hass schüren .,Weil [START] die AfD [END] und [START] ihr Umfeld [END] [START] diese Gesellschaft [END] spalten und weil [START] Sie [END] [START] Hass [END] schüren .,"['O', 'B', 'I', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'O', 'B', 'B', 'O', 'O']","[1, 0, 1, 0, 0]",,"[0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
Sie machen Geflüchtete zu Sündenböcken für eine gescheiterte Sozialpolitik .,[START] Sie [END] machen [START] Geflüchtete [END] zu [START] Sündenböcken [END] für [START] eine gescheiterte Sozialpolitik [END] .,"['B', 'O', 'B', 'O', 'B', 'O', 'B', 'I', 'I', 'O']","[0, 1, 1, 0]",,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",
Sie stellen Migrantinnen und Migranten als Kriminelle dar .,[START] Sie [END] stellen [START] Migrantinnen [END] und [START] Migranten [END] als [START] Kriminelle [END] dar .,"['B', 'O', 'B', 'O', 'B', 'O', 'B', 'O', 'O']","[0, 1, 1, 1]",,"[0, 0, 1, 0, 1, 0, 1, 0, 0]",
"Sie tun so , als würde es in Großpostwitz kein größeres Problem als die Burka geben oder als würde in Kleinwelka die Einführung der Scharia kurz bevorstehen .","[START] Sie [END] tun so , als würde es in [START] Großpostwitz [END] [START] kein größeres Problem [END] als die Burka geben oder als würde in [START] Kleinwelka [END] [START] die Einführung [END] [START] der Scharia [END] kurz bevorstehen .","['B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Hören Sie endlich auf damit !,Hören [START] Sie [END] endlich auf damit !,"['O', 'B', 'O', 'O', 'O', 'O']",[0],,"[0, 0, 0, 0, 0, 0]",
"Hören Sie auf , Hass zu schüren !","Hören [START] Sie [END] auf , [START] Hass [END] zu schüren !","['O', 'B', 'O', 'O', 'B', 'O', 'O', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0]",
Lassen Sie Ihre scheinheiligen Anträge sein !,Lassen [START] Sie [END] [START] Ihre scheinheiligen Anträge [END] sein !,"['O', 'B', 'B', 'I', 'I', 'O', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0, 0]",
Vielen Dank .,Vielen Dank .,"['O', 'O', 'O']",[],,"[0, 0, 0]",
"Vielen Dank , Caren Lay .","Vielen Dank , [START] Caren Lay [END] .","['O', 'O', 'O', 'B', 'I', 'O']",[1],,"[0, 0, 0, 1, 1, 0]",
– Noch einmal – weil sich wieder jemand zu einer Zwischenfrage gemeldet hat – : In der Aktuellen Stunde gibt es keine Zwischenfragen ; das legt die Geschäftsordnung fest .,– Noch einmal – weil [START] sich [END] wieder [START] jemand [END] zu [START] einer Zwischenfrage [END] gemeldet hat – : In [START] der Aktuellen Stunde [END] gibt es [START] keine Zwischenfragen [END] ; [START] das [END] legt [START] die Geschäftsordnung [END] fest .,"['O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'I', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Nächster Redner : Sven-Christian Kindler für Bündnis 90 / Die Grünen .,[START] Nächster Redner [END] : [START] Sven-Christian Kindler [END] für [START] Bündnis [END] 90 / [START] Die Grünen [END] .,"['B', 'I', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'B', 'I', 'O']","[1, 1, 0, 1]",,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0]",
Herr Präsident !,[START] Herr Präsident [END] !,"['B', 'I', 'O']",[1],,"[1, 1, 0]",
Meine Damen und Herren !,[START] Meine Damen [END] und [START] Herren [END] !,"['B', 'I', 'O', 'B', 'O']","[1, 1]",,"[1, 1, 0, 1, 0]",
"Lassen Sie mich mit den Worten des Kabarettisten Christoph Süß beginnen : Oh schwarze Null , die du uns durch dein segensreiches Wirken zur Nummer eins machst .","Lassen [START] Sie [END] [START] mich [END] mit [START] den Worten [END] [START] des Kabarettisten Christoph Süß [END] beginnen : Oh schwarze Null , [START] die [END] [START] du [END] [START] uns [END] durch [START] dein segensreiches Wirken [END] zur [START] Nummer [END] eins machst .","['O', 'B', 'B', 'O', 'B', 'I', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'B', 'O', 'B', 'I', 'I', 'O', 'B', 'O', 'O', 'O']","[0, 0, 0, 1, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Mal ehrlich : Wer braucht schnelles Internet , Brücken , Straßen oder genug Polizisten , Lehrer , moderne Schulen , wenn er eine schwarze Null hat ?","Mal ehrlich : [START] Wer [END] braucht [START] schnelles Internet [END] , [START] Brücken [END] , [START] Straßen [END] oder [START] genug Polizisten [END] , [START] Lehrer [END] , [START] moderne Schulen [END] , wenn [START] er [END] eine schwarze [START] Null [END] hat ?","['O', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'O']","[0, 0, 0, 0, 1, 1, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Darum beneidet uns jeder .,Darum beneidet [START] uns [END] [START] jeder [END] .,"['O', 'O', 'B', 'B', 'O']","[0, 0]",,"[0, 0, 0, 0, 0]",
Damit könnte man es fast bewenden lassen .,Damit könnte [START] man [END] [START] es [END] fast bewenden lassen .,"['O', 'O', 'B', 'B', 'O', 'O', 'O', 'O']","[1, 0]",,"[0, 0, 1, 0, 0, 0, 0, 0]",
Ich habe aber noch viereinhalb Minuten ; die nutze ich jetzt .,[START] Ich [END] habe aber noch [START] viereinhalb Minuten [END] ; [START] die [END] nutze [START] ich [END] jetzt .,"['B', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'O', 'O']","[1, 0, 0, 1]",,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
