Sentence,Tagged_Sentence,BIO_tags,Animated_NP,Animated_Prob_NP,Animated_Token,Animated_Prob_Token
Unsere zivile Unterstützung im Irak hatte daran einen ganz entscheidenden Anteil .,[START] Unsere zivile Unterstützung [END] im [START] Irak [END] hatte daran [START] einen ganz entscheidenden Anteil [END] .,"['B', 'I', 'I', 'O', 'B', 'O', 'O', 'B', 'I', 'I', 'I', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Genauso entscheidend bleibt der Aufbau von Fähigkeiten der irakischen Sicherheitskräfte ; dieser Aufbau muss weitergehen .,Genauso entscheidend bleibt [START] der Aufbau [END] von [START] Fähigkeiten [END] [START] der irakischen Sicherheitskräfte [END] ; [START] dieser Aufbau [END] muss weitergehen .,"['O', 'O', 'O', 'B', 'I', 'O', 'B', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Und drittens – auch das muss gesagt werden – : Unser militärischer Beitrag und der Einsatz der Anti-IS-Koalition schaffen oft erst die Grundlage für das zivile Engagement .,Und drittens – [START] auch das [END] muss gesagt werden – : [START] Unser militärischer Beitrag [END] und [START] der Einsatz [END] [START] der Anti-IS-Koalition [END] schaffen oft erst [START] die Grundlage [END] für [START] das zivile Engagement [END] .,"['O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Humanitäre Hilfe , Stabilisierung , Versöhnung – all das braucht ein Mindestmaß an Sicherheit .","[START] Humanitäre Hilfe [END] , [START] Stabilisierung [END] , [START] Versöhnung [END] [START] – all das [END] braucht [START] ein Mindestmaß [END] an [START] Sicherheit [END] .","['B', 'I', 'O', 'B', 'O', 'B', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'B', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Bedauerlicherweise ist die Lage dort so , dass dies militärische Sicherheit sein muss .","Bedauerlicherweise ist [START] die Lage [END] dort so , dass [START] dies [END] [START] militärische Sicherheit [END] sein muss .","['O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Meine sehr verehrten Damen und Herren , liebe Kolleginnen und Kollegen , wir haben in den letzten Tagen über das IKRK , das Welternährungsprogramm und das UNHCR geholfen , die rund 170 0 Vertriebenen in Nordsyrien , so gut es geht , zu versorgen .","[START] Meine sehr verehrten Damen [END] und [START] Herren [END] , [START] liebe Kolleginnen [END] und [START] Kollegen [END] , [START] wir [END] haben in [START] den letzten Tagen [END] über [START] das IKRK [END] , [START] das Welternährungsprogramm [END] und [START] das UNHCR [END] geholfen , [START] die [END] rund 170 0 Vertriebenen in [START] Nordsyrien [END] , so gut es geht , zu versorgen .","['B', 'I', 'I', 'I', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Sollte die humanitäre Notlage anhalten , dann müssen wir auch bereit sein , weiterhin Unterstützung zu leisten , vielleicht noch mehr , als wir zurzeit zur Verfügung stellen .","Sollte [START] die humanitäre Notlage [END] anhalten , dann müssen [START] wir [END] auch bereit sein , weiterhin [START] Unterstützung [END] zu leisten , [START] vielleicht noch mehr [END] , als [START] wir [END] zurzeit zur [START] Verfügung [END] stellen .","['O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Frau Präsidentin , ich komme zum Schluss : Auch für diese Menschen wäre viel erreicht , wenn wir die Gefahr durch den IS ein für alle Mal bannen könnten ; denn die Menschen in Syrien und im Irak fürchten kaum etwas so sehr wie eine erneute IS-Terrorherrschaft .","[START] Frau Präsidentin [END] , [START] ich [END] komme zum [START] Schluss [END] : Auch für [START] diese Menschen [END] wäre [START] viel [END] erreicht , wenn [START] wir [END] [START] die Gefahr [END] durch [START] den IS [END] ein für [START] alle Mal [END] bannen könnten ; denn [START] die Menschen [END] in [START] Syrien [END] und im [START] Irak [END] fürchten kaum etwas so sehr wie eine erneute IS-Terrorherrschaft .","['B', 'I', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Aber auch für unsere Sicherheit in Europa – das gehört ebenfalls in diese Debatte – bleibt der IS eine Bedrohung .,Aber auch für [START] unsere Sicherheit [END] in [START] Europa [END] [START] – das [END] gehört ebenfalls in [START] diese Debatte [END] – bleibt [START] der IS [END] [START] eine Bedrohung [END] .,"['O', 'O', 'O', 'B', 'I', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'B', 'I', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Deshalb ist die Verlängerung dieses Mandates in unserem ureigenen Interesse .,Deshalb ist [START] die Verlängerung [END] [START] dieses Mandates [END] in [START] unserem ureigenen Interesse [END] .,"['O', 'O', 'B', 'I', 'B', 'I', 'O', 'B', 'I', 'I', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Herzlichen Dank .,[START] Herzlichen Dank [END] .,"['B', 'I', 'O']",[0],,"[0, 0, 0]",
Das Wort hat der Abgeordnete Gerold Otten für die AfD-Fraktion .,[START] Das Wort [END] hat [START] der Abgeordnete Gerold Otten [END] für [START] die AfD-Fraktion [END] .,"['B', 'I', 'O', 'B', 'I', 'I', 'I', 'O', 'B', 'I', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Herr Präsident !,[START] Herr Präsident [END] !,"['B', 'I', 'O']",[0],,"[0, 0, 0]",
Sehr geehrte Damen !,[START] Sehr geehrte Damen [END] !,"['B', 'I', 'I', 'O']",[0],,"[0, 0, 0, 0]",
Sehr geehrte Herren !,[START] Sehr geehrte Herren [END] !,"['B', 'I', 'I', 'O']",[0],,"[0, 0, 0, 0]",
"Herr Frömming , ich habe Verständnis dafür , dass man , wenn man neu ist im Parlament , 100 Tage braucht , um sich einzuarbeiten .","[START] Herr Frömming [END] , [START] ich [END] habe [START] Verständnis [END] dafür , dass [START] man [END] , wenn [START] man [END] neu ist im [START] Parlament [END] , [START] 100 Tage [END] braucht , um [START] sich [END] einzuarbeiten .","['B', 'I', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Aber nach inzwischen 235 Tagen sollten Sie zumindest verstanden haben , welche Aufgaben wir hier im Deutschen Bundestag haben .","Aber nach [START] inzwischen 235 Tagen [END] sollten [START] Sie [END] zumindest verstanden haben , [START] welche Aufgaben [END] [START] wir [END] hier im [START] Deutschen Bundestag [END] haben .","['O', 'O', 'B', 'I', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'O', 'O', 'B', 'I', 'O', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Sie reden bei jeder Debatte und auch im Ausschuss von der Schulbildung .,[START] Sie [END] reden bei [START] jeder Debatte [END] und auch im [START] Ausschuss [END] von [START] der Schulbildung [END] .,"['B', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'O']","[0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Das ist der einzige Bereich , für den wir nicht zuständig sind .","[START] Das [END] ist [START] der einzige Bereich [END] , für [START] den [END] [START] wir [END] nicht zuständig sind .","['B', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'O']","[0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Dafür sind die Länder zuständig .,Dafür sind [START] die Länder [END] zuständig .,"['O', 'O', 'B', 'I', 'O', 'O']",[0],,"[0, 0, 0, 0, 0, 0]",
"Sie sollten sich entscheiden , ob Sie im Deutschen Bundestag , im Berliner Abgeordnetenhaus oder im Sächsischen Landtag mitarbeiten wollen .","[START] Sie [END] sollten [START] sich [END] entscheiden , ob [START] Sie [END] im [START] Deutschen Bundestag [END] , im [START] Berliner Abgeordnetenhaus [END] oder im [START] Sächsischen Landtag [END] mitarbeiten wollen .","['B', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Sehr geehrte Damen , sehr geehrte Herren , der Haushalt 2018 liegt in der Tradition der Linie seit 2005 , als wir die Regierung übernommen haben .","[START] Sehr geehrte Damen [END] , [START] sehr geehrte Herren [END] , [START] der Haushalt [END] 2018 liegt in [START] der Tradition [END] [START] der Linie [END] seit 2005 , als [START] wir [END] [START] die Regierung [END] übernommen haben .","['B', 'I', 'I', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Herr Meyer – das richte ich an Sie – , ich habe durchaus Verständnis , wenn man neu ist , kennt man nicht die gesamte Historie und weiß nicht , mit jedem Paket sofort etwas anzufangen und einzuschätzen , welche Bedeutung es hat .","Herr [START] Meyer [END] [START] – das [END] richte [START] ich [END] an [START] Sie [END] – , [START] ich [END] habe durchaus [START] Verständnis [END] , wenn [START] man [END] neu ist , kennt [START] man [END] nicht [START] die gesamte Historie [END] und weiß nicht , mit [START] jedem Paket [END] sofort [START] etwas [END] anzufangen und einzuschätzen , [START] welche Bedeutung [END] [START] es [END] hat .","['O', 'B', 'B', 'I', 'O', 'B', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Aber ich nenne Ihnen noch einmal die Zahlen .,Aber [START] ich [END] nenne [START] Ihnen [END] noch einmal [START] die Zahlen [END] .,"['O', 'B', 'O', 'B', 'O', 'O', 'B', 'I', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",
Was haben wir seit 2005 gemacht ?,[START] Was [END] haben [START] wir [END] seit 2005 gemacht ?,"['B', 'O', 'B', 'O', 'O', 'O', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0, 0]",
"Wir haben die Mittel in diesem Bereich dramatisch , massiv erhöht .","[START] Wir [END] haben [START] die Mittel [END] in [START] diesem Bereich [END] dramatisch , massiv erhöht .","['B', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Wo Sie auch auf der Welt unterwegs sind , wird das wertgeschätzt , und es wird gesagt : Deutschland ist in Wissenschaft und Forschung wieder in der Weltspitze dabei .","Wo [START] Sie [END] auch auf [START] der Welt [END] unterwegs sind , wird [START] das [END] wertgeschätzt , und [START] es [END] wird gesagt : [START] Deutschland [END] ist in [START] Wissenschaft [END] und [START] Forschung [END] wieder in [START] der Weltspitze [END] dabei .","['O', 'B', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Die Entwicklung der Zahlen seit 2005 : Der BMBF-Haushalt ist um 132 Prozent gestiegen .,[START] Die Entwicklung [END] [START] der Zahlen [END] seit 2005 : [START] Der BMBF-Haushalt [END] ist um [START] 132 Prozent [END] gestiegen .,"['B', 'I', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O']","[0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Das ist eine beeindruckende Zahl , das ist ein Spitzenwert , sehr geehrte Damen und Herren .","[START] Das [END] ist [START] eine beeindruckende Zahl [END] , [START] das [END] ist [START] ein Spitzenwert [END] , [START] sehr geehrte Damen [END] und [START] Herren [END] .","['B', 'O', 'B', 'I', 'I', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'O', 'B', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Nicht nur die Zahlen sind gestiegen .,[START] Nicht nur die Zahlen [END] sind gestiegen .,"['B', 'I', 'I', 'I', 'O', 'O', 'O']",[0],,"[0, 0, 0, 0, 0, 0, 0]",
"Wir haben vonseiten des Bundes Strukturreformen in Bereichen angestoßen , in denen wir auch die Zuständigkeit hatten .","[START] Wir [END] haben [START] vonseiten [END] [START] des Bundes [END] [START] Strukturreformen [END] in [START] Bereichen [END] angestoßen , in [START] denen [END] [START] wir [END] [START] auch die Zuständigkeit [END] hatten .","['B', 'O', 'B', 'B', 'I', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'B', 'B', 'I', 'I', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Wir haben eben nicht über Themen diskutiert , die in der föderalen Struktur nicht in unsere Zuständigkeit fallen .","[START] Wir [END] haben eben nicht über [START] Themen [END] diskutiert , [START] die [END] in [START] der föderalen Struktur [END] nicht in [START] unsere Zuständigkeit [END] fallen .","['B', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'I', 'O', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Wo wir die Zuständigkeit haben , haben wir Strukturreformen angestoßen , die das gesamte Wissenschaftssystem auf eine neue architektonische Grundlage gestellt haben , beispielsweise mit dem Wissenschaftsfreiheitsgesetz – ein weitreichender Beschluss – , der Hightech-Strategie – sie ist tiefgreifend , alle Ressorts arbeiten zusammen – , der Exzellenzinitiative und der Exzellenzstrategie – ein Meilenstein historischer Dimension für die Hochschulen in Deutschland – sowie den Hochschulpakten .","Wo [START] wir [END] [START] die Zuständigkeit [END] haben , haben [START] wir [END] [START] Strukturreformen [END] angestoßen , [START] die [END] [START] das gesamte Wissenschaftssystem [END] auf [START] eine neue architektonische Grundlage [END] gestellt haben , beispielsweise mit [START] dem Wissenschaftsfreiheitsgesetz [END] – ein weitreichender Beschluss – , [START] der Hightech-Strategie [END] – [START] sie [END] ist tiefgreifend , [START] alle Ressorts [END] arbeiten zusammen – , [START] der Exzellenzinitiative [END] und [START] der Exzellenzstrategie [END] – [START] ein Meilenstein [END] [START] historischer Dimension [END] für [START] die Hochschulen [END] in [START] Deutschland [END] – sowie [START] den Hochschulpakten [END] .","['O', 'B', 'B', 'I', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'B', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'B', 'I', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'B', 'I', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Wissen Sie , welcher Betrag im Rahmen des Hochschulpakts zur Verfügung gestellt wird ?","Wissen [START] Sie [END] , [START] welcher Betrag [END] im [START] Rahmen [END] [START] des Hochschulpakts [END] zur [START] Verfügung [END] gestellt wird ?","['O', 'B', 'O', 'B', 'I', 'O', 'B', 'B', 'I', 'O', 'B', 'O', 'O', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Es wurde gesagt , da würde nichts gemacht .","[START] Es [END] wurde gesagt , da würde [START] nichts [END] gemacht .","['B', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Ja , wo sind wir denn ?","Ja , wo sind [START] wir [END] denn ?","['O', 'O', 'O', 'O', 'B', 'O', 'O']",[0],,"[0, 0, 0, 0, 0, 0, 0]",
"Die Mittel , die der Bund von 2007 bis 2023 im Rahmen des Hochschulpakts zur Verfügung stellt – nur das Bundesgeld – , betragen summa summa­rum 20,2 Milliarden Euro .","[START] Die Mittel [END] , [START] die [END] [START] der Bund [END] von 2007 bis 2023 im [START] Rahmen [END] [START] des Hochschulpakts [END] zur [START] Verfügung [END] stellt [START] – nur das Bundesgeld [END] – , betragen [START] summa summa­rum 20,2 Milliarden Euro [END] .","['B', 'I', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'B', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Das sind Beiträge , die der Bund leistet , obwohl es nicht seine Hauptaufgabe gewesen wäre ; in der Tat ist es primär Länderaufgabe .","[START] Das [END] sind [START] Beiträge [END] , [START] die [END] [START] der Bund [END] leistet , obwohl [START] es [END] nicht [START] seine Hauptaufgabe [END] gewesen wäre ; in [START] der Tat [END] ist [START] es [END] [START] primär Länderaufgabe [END] .","['B', 'O', 'B', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'B', 'I', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Wir haben es aber mit angeschoben , um Entwicklungen anzustoßen .","[START] Wir [END] haben [START] es [END] aber mit angeschoben , um [START] Entwicklungen [END] anzustoßen .","['B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
